Filing Date,Docket Number,Regional Entity,Registered Entity,NCR ID (NERC Compliance Registry Identifier),Total Penalty ($) (The total penalty amount represents an aggregate amount for the filing; it does not represent an amount per violation.),NERC Violation ID,Reliability Standard,Req.,"Violation Risk Factor (Lower, Medium, High)","Risk Assessment (Minimal, Moderate, Serious)",Mitigation Completion Date,Notice of No Further Review Issued
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2016016486,EOP-008-1,R1,Medium,Serious,44196,X
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2016016487,EOP-008-1,R4,High,Serious,44196,X
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2016016489,FAC-009-1,R1,Medium,Moderate,43617,X
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2017017277,TOP-004-2,R6,Medium,Moderate,42917,X
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2019021901,PER-003-0,R1,High,Serious,44371,X
9/30/2020,NP20-22-000,SERC,"Associated Electric Cooperative, Inc.",NCR01177,430000,SERC2019021902,PER-005-1,R1,Medium,Serious,44084,X
8/31/2020,NP20-21-000,WECC,Unidentified Registered Entity,NCRXXXXX,No Penalty,WECC2017017186,CIP-005-5,R2,Medium,Moderate,43235,X
8/31/2020,NP20-21-000,WECC,Unidentified Registered Entity,NCRXXXXX,No Penalty,WECC2017017078,CIP-005-5,R2,Medium,Serious,43234,X
8/31/2020,NP20-21-000,WECC,Unidentified Registered Entity,NCRXXXXX,No Penalty,WECC2017018458,CIP-007-6,R2,High,Serious,43597,X
7/30/2020,NP20-20-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2018020557,CIP-011-2,R1: P1.2,Medium,Minimal,43892,X
7/30/2020,NP20-20-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,36750,TRE2017017935,CIP-007-6,R4; R4.1; R4.2; R4.3,Medium,Moderate,43227,X
7/30/2020,NP20-20-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,36750,TRE2017017934,CIP-007-6,R1; R1.1,Medium,Minimal,42956,X
7/30/2020,NP20-20-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,36750,TRE2017018012,CIP-010-2,R1; R1.1.2; R1.1.5,Medium,Minimal,42846,X
7/30/2020,NP20-20-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,36750,TRE2017018017,CIP-007-6,R2; R2.1; R2.2; R2.3,Medium,Moderate,43810,X
7/30/2020,NP20-20-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,0,TRE2018019425,CIP-002-5.1,R1,High,Moderate,43538,X
7/30/2020,NP20-20-000,Texas RE,"Electric Transmission Texas, LLC",NCR10211,0,TRE2018020835,FAC-008-3,R6,Medium,Moderate,43616,X
6/30/2020,NP20-19-000,SERC,Ameren Services Company,NCR01175,90000,SERC2017018437,FAC-009-1,R1,Medium,Moderate,43678,X
6/30/2020,NP20-19-000,SERC,Ameren Missouri,NCR10248,85000,SERC2017018436,FAC-009-1,R1,Medium,Moderate,43447,X
5/28/2020,NP20-18-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017388,CIP-014-2,R5: P5.1,High,Minimal,43851,X
5/28/2020,NP20-18-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017390,CIP-014-2,R5: P5.1,High,Minimal,43851,X
5/28/2020,NP20-18-000,NPCC,Eversource Energy Service Company,NCR07176,120000,NPCC2018019893,FAC-009-1,R1,Medium,Moderate,43818,X
5/28/2020,NP20-17-000,RF,DTE Electric Company,NCR00753,375000,RFC2017017450,PRC-005-1 ,R2,High,Moderate,42993,X
5/28/2020,NP20-17-000,RF,DTE Electric Company,NCR00753,375000,RFC2018018988,PRC-005-1.1b,R2,High,Serious,43812,X
5/28/2020,NP20-16-000,RF,American Electric Power Service Corporation,NCR00682,1000000,RFC2018020254,FAC-003-4,R2,High,Serious,43979,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018708,CIP-002-5.1,R1,High,Minimal,43178,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017778,CIP-004-6,R2,Lower,Minimal,42922,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017568,CIP-004-6,R4,Medium,Minimal,42944,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018261,CIP-004-6,R4,Medium,Minimal,42951,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018760,CIP-004-6,R4,Medium,Moderate,43110,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017152,CIP-004-6,R5,Medium,Minimal,42873,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018019570,CIP-005-5,R2,Medium,Moderate,43315,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017304,CIP-006-6,R1,Medium,Moderate,43007,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017547,CIP-006-6,R1,Medium,Minimal,42863,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018166,CIP-006-6,R1,Medium,Minimal,43056,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018857,CIP-006-6,R1,Medium,Minimal,43109,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2016016341,CIP-007-3a,R3,Lower,Moderate,42648,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2016016342,CIP-007-3a,R3,Lower,Serious,42947,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2016016343,CIP-007-6,R2,Medium,Minimal,42787,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017777,CIP-007-6,R2,Medium,Minimal,43070,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017839,CIP-007-6,R2,Medium,Minimal,42922,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018020386,CIP-007-6,R2,Medium,Minimal,43336,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017548,CIP-007-6,R4,Medium,Serious,42928,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018019469,CIP-007-6,R4,Medium,Moderate,43222,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018020086,CIP-007-6,R4,Medium,Moderate,43451,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2019021564,CIP-007-6,R4,Medium,Moderate,43680,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017016888,CIP-007-6,R5,Medium,Minimal,42874,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2016016384,CIP-009-6,R1,Medium,Minimal,42683,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017546,CIP-010-2,R1; 1.1,Medium,Moderate,42933,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017765,CIP-010-2,R1,Medium,Moderate,42916,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017840,CIP-010-2,R1,Medium,Minimal,42978,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018307,CIP-010-2,R1,Medium,Minimal,43041,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018019647,CIP-010-2,R1,Medium,Moderate,43391,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017836,CIP-010-2,R3,Medium,Moderate,43055,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018498,CIP-010-2,R3,Medium,Minimal,43117,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2018019048,CIP-010-2,R3,Medium,Minimal,43221,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018285,CIP-010-2,R4,Medium,Minimal,43021,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017018761,CIP-010-2,R4,Medium,Minimal,43137,X
4/30/2020,NP20-15-000,RF,Unidentified Registered Entity,NCRXXXXX,450000,RFC2017017838,CIP-011-2,R1,Medium,Minimal,42916,X
4/30/2020,NP20-14-000,WECC,Portland General Electric Company ,NCR05325,112000,WECC2017017872,COM-002-4,R5,High,Moderate,42901,X
4/30/2020,NP20-14-000,WECC,Portland General Electric Company ,NCR05325,112000,WECC2017017873,COM-002-4,R6,High,Moderate,42901,X
4/30/2020,NP20-14-000,WECC,Portland General Electric Company ,NCR05325,112000,WECC2017017874,VAR-002-2b,R3,Medium,Minimal,43552,X
4/30/2020,NP20-14-000,NPCC,"Exelon Generation Company, LLC - Exelon Nuclear",NCR00778,110000,NPCC2017017379,PRC-005-1.1b,R2.; 2.1,High,Moderate,44104,X
4/30/2020,NP20-14-000,RF,"Exelon Generation Company, LLC - Exelon Nuclear",NCR00778,110000,RFC2018019546,PRC-005-1.1b,R2; 2.1,High,Moderate,43817,X
3/31/2020,NP20-13-000,SERC,Mississippi Delta Energy Agency,NCR06050,70000,SPP2017018829,FAC-003-4,R2,High,Serious,43154,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017018534,CIP-010-2,R2,Medium,Moderate,43125,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016923,CIP-010-2,R2,Medium,Moderate,43035,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016922,CIP-010-2,R1,Medium,Moderate,43544,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2016016473,CIP-007-3a,R6,Medium,Moderate,42706,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017018533,CIP-007-6,R5,Medium,Moderate,43545,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017018530,CIP-007-6,R5,Medium,Minimal,43084,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016920,CIP-007-6,R5,Medium,Minimal,42794,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017018532,CIP-007-6,R4,Medium,Moderate,43084,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016924,CIP-007-6,R4,Medium,Moderate,42840,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016919,CIP-007-6,R4,Medium,Moderate,42766,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2018019981,CIP-007-6,R3,Medium,Moderate,43577,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2018019980,CIP-007-6,R3,Medium,Moderate,43511,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016918,CIP-007-6,R3,Medium,Moderate,42794,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016917,CIP-007-6,R2,Medium,Moderate,43550,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2016016509,CIP-004-3a,R4,Lower,Moderate,42766,X
3/31/2020,NP20-12-000,RF,Unidentified Registered Entity,NCRXXXXX,225000,RFC2017016915,CIP-002-5.1,R1,High,Minimal,42781,X
3/31/2020,NP20-11-000,WECC,Western Area Power Administration – Rocky Mountain Region,NCR05464,No Penalty,WECC2018020399,FAC-009-1,R1,Medium,Serious,44180,X
2/27/2020,NP20-10-000,WECC,Sierra Pacific Power Company,NCR05390,153000,WECC2016016683,FAC-009-1,R1,Medium,Serious,42762,X
2/27/2020,NP20-10-000,WECC,Sierra Pacific Power Company,NCR05390,153000,WECC2018020109,VAR-002-4,R2,Medium,Moderate,43488,X
2/27/2020,NP20-9-000,WECC,Nevada Power Company,NCR05261,231000,WECC2016016682,FAC-009-1,R1,Medium,Serious,42874,X
2/27/2020,NP20-9-000,WECC,Nevada Power Company,NCR05261,231000,WECC2018020110,VAR-002-4,R2,Medium,Moderate,43439,X
2/27/2020,NP20-8-000,WECC,Public Service Company of New Mexico,NCR05333,70000,WECC2017016935,TOP-002-2.1b,R19,Medium,Moderate,42812,X
2/27/2020,NP20-8-000,WECC,Public Service Company of New Mexico,NCR05333,70000,WECC2017016936,TOP-004-2,R4,High,Moderate,42825,X
2/27/2020,NP20-8-000,WECC,Public Service Company of New Mexico,NCR05333,70000,WECC2016016414,PRC-005-1.1b,R2,High,Minimal,42812,X
2/27/2020,NP20-8-000,WECC,Public Service Company of New Mexico,NCR05333,70000,WECC2018019757,PRC-005-1.1b,R2,High,Minimal,43889,X
1/30/2020,NP20-7-000,RF,Unidentified Registered Entity,NCRXXXXX,50000,RFC2017017060,CIP-010-2,R2,Medium,Moderate,43144,X
1/30/2020,NP20-7-000,NPCC,FirstLight Hydro Generating Company,NCR10049,0,NPCC2019021852,FAC-008-1,"R1., R1.3",Lower,Minimal,43712,X
1/30/2020,NP20-7-000,WECC,Bonneville Power Administration,NCR05031,No Penalty,WECC2016016711,PRC-005-2(i),R3,High,Minimal,42810,X
1/30/2020,NP20-7-000,WECC,Bonneville Power Administration,NCR05031,No Penalty,WECC2016015730,MOD-029-1a,R3,Lower,Minimal,43403,X
1/30/2020,NP20-7-000,WECC,Bonneville Power Administration,NCR05031,No Penalty,WECC2018019868,MOD-029-2a,"R2, R2.6",Lower,Minimal,43292,X
1/30/2020,NP20-7-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2016015841,MOD-029-1a,"R2, R2.6",Lower,Minimal,42613,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017018365,CIP-007-6,"R4; P4.2; 
Sub-part 4.2.2",Medium,Minimal,43411,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2018019483,CIP-007-6,R2; P2.2,Medium,Minimal,43606,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2018018977,CIP-007-6,R;: P2.3,Medium,Minimal,43378,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017911,CIP-007-6,R2; P2.3,Medium,Minimal,43364,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017018364,CIP-006-6,R1; P1.5,Medium,Minimal,43410,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017634,CIP-010-2,R1; P1.1; P1.2; P1.3,Medium,Minimal,43420,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017633,CIP-007-6,R5; P5.1-P5.7,Medium,Minimal,43511,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017632,CIP-007-6,R2; P2.1,Medium,Minimal,43336,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017631,CIP-007-6,R1; P1.1,Medium,Minimal,42985,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2017017507,CIP-005-5,R1; P1.1,Medium,Minimal,43438,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,65000,WECC2017017676,CIP-002-5.1,"R1, P1.1, P1.2",High,Moderate,43539,X
12/30/2019,NP20-6-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2019021165,CIP-010-2,R1; P1.4.1; P1.4.2; P1.4.3; P1.5.1; P1.5.2,Medium,Moderate,43522,X
12/30/2019,NP20-6-000,RF,Unidentified Registered Entity,NCRXXXXX,115000,RFC2018019404,CIP-010-2,R2,Medium,Moderate,43312,X
12/30/2019,NP20-6-000,RF,Unidentified Registered Entity,NCRXXXXX,115000,RFC2017018475,CIP-010-2,R1,Medium,Moderate,43272,X
12/30/2019,NP20-6-000,RF,Unidentified Registered Entity,NCRXXXXX,115000,RFC2016016353,CIP-007-3a,R2,Medium,Moderate,43008,X
12/30/2019,NP20-6-000,RF,Unidentified Registered Entity,NCRXXXXX,115000,RFC2017018305,CIP-005-3a,R2,Medium,Moderate,43140,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017585,IRO-010-1a,R3,Medium,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017584,IRO-005-3.1a,R9,Lower,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017589,TOP-007-0,R1,High,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017588,TOP-004-2,R1,Medium,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017591,TOP-002-2.1b,R4,Medium,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2017017579,TOP-002-2.1b,R1,Medium,Moderate,42826,X
12/30/2019,NP20-6-000,WECC,Idaho Power Company,NCR05191,0,WECC2018020114,PRC-005-2(i),R3,High,Minimal,43283,X
12/30/2019,NP20-6-000,RF,City of Niles Light Department,NCR02710,0,RFC2018019839,PRC-005-2(i),R3,High,Moderate,43294,X
12/30/2019,NP20-6-000,RF,City of Niles Light Department,NCR02710,0,RFC2018019840,COM-002-4,R3,Lower,Moderate,43160,X
12/30/2019,NP20-5-000,WECC,Bonneville Power Administration,NCR05032,No Penalty,WECC2015015219,FAC-009-1,R1,Medium,Serious,43182,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07207",450000,NPCC2018020508,TOP-001-3,R9,Medium,Moderate,43579,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07208",450000,NPCC2018020667,TOP-001-3,R13,High,Moderate,43579,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07209",450000,NPCC2018020509,TOP-001-3,R9,Medium,Moderate,43579,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07210",450000,NPCC2018020666,TOP-001-3,R13,High,Moderate,43579,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07211",450000,NPCC2019020966,TOP-001-4,R9,Medium,Moderate,43579,X
11/26/2019,NP20-4-000,NPCC,"Central Maine Power Company, New York State Electric and Gas Corporation, Rochester Gas and Electric Corporation","NCR07029;
NCR07181;
NCR07212",450000,NPCC2019020965,TOP-001-4,R13,High,Moderate,43579,X
11/1/2019,IN17-1-000,Texas RE,Calpine Corporation,NCR00006,375000,TRE2015015440,PRC-005-1b ,R2,High,Serious,42364,X
10/31/2019,NP20-3-000,NPCC,Unidentified Registered Entity,NCRXXXXX,84000,NPCC2018019849,CIP-005-5,R1,Medium,Moderate,43349,X
10/31/2019,NP20-3-000,NPCC,Unidentified Registered Entity,NCRXXXXX,84000,NPCC2018019848,CIP-005-5,R2,Medium,Moderate,43444,X
10/31/2019,NP20-3-000,NPCC,Unidentified Registered Entity,NCRXXXXX,84000,NPCC2018019847,CIP-007-6,R2,Medium,Minimal,43432,X
10/31/2019,NP20-3-000,NPCC,Unidentified Registered Entity,NCRXXXXX,84000,NPCC2018019846,CIP-007-6,R5,Medium,Minimal,43390,X
10/31/2019,NP20-3-000,NPCC,Unidentified Registered Entity,NCRXXXXX,84000,NPCC2018019845,CIP-010-2,R3,Medium,Moderate,43349,X
10/31/2019,NP20-2-000,WECC,Unidentified Registered Entity,NCRXXXXX,378000,WECC2018019376,CIP-007-6,R5,Medium,Minimal,43320,X
10/31/2019,NP20-2-000,WECC,Unidentified Registered Entity,NCRXXXXX,378000,WECC2018019192,CIP-010-2,R1,Medium,Serious,43424,X
10/31/2019,NP20-2-000,WECC,Unidentified Registered Entity,NCRXXXXX,378000,WECC2017018484,CIP-010-2,R1,Medium,Moderate,43266,X
10/31/2019,NP20-2-000,WECC,Unidentified Registered Entity,NCRXXXXX,378000,WECC2017018485,CIP-010-2,R2,Medium,Moderate,43075,X
10/31/2019,NP20-2-000,WECC,Unidentified Registered Entity,NCRXXXXX,378000,WECC2018019012,CIP-010-2,R2,Medium,Moderate,43149,X
10/31/2019,NP20-1-000,WECC,Peak Reliability,NCR10289,2300000,WECC2017018677,COM-002-4,R5,High,Moderate,43216,X
10/31/2019,NP20-1-000,WECC,Peak Reliability,NCR10289,2300000,WECC2017018678,IRO-001-4,R1,High,Moderate,43216,X
10/31/2019,NP20-1-000,WECC,Peak Reliability,NCR10289,2300000,WECC2017018679,EOP-006-2,R7,High,Moderate,43216,X
10/31/2019,NP20-1-000,WECC,Peak Reliability,NCR10289,2300000,WECC2017018680,EOP-006-2,R8,High,Moderate,43216,X
10/31/2019,NP20-1-000,WECC,Peak Reliability,NCR10289,2300000,WECC2017018486,IRO-005-3.1a,R3,High,Minimal,43083,X
9/26/2019,NP19-18-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,No Penalty,TRE2016016184,CIP-002-5.1,R1,High,Moderate,43776,X
9/26/2019,NP19-18-000,Texas RE,"International Boundary and Water Commission, US Section",NCR11392,No Penalty,TRE2016015853,PRC-005-1b,R2,High,Moderate,43800,X
9/26/2019,NP19-18-000,Texas RE,"International Boundary and Water Commission, US Section",NCR11392,No Penalty,TRE2016015852,PRC-005-1b,R1,High,Moderate,43620,X
9/26/2019,NP19-18-000,Texas RE,"International Boundary and Water Commission, US Section",NCR11392,No Penalty,TRE2016015851,FAC-008-3,R6,Medium,Moderate,43620,X
9/26/2019,NP19-18-000,Texas RE,"International Boundary and Water Commission, US Section",NCR11392,No Penalty,TRE2016015850,FAC-008-3,R2,Medium,Moderate,43620,X
9/26/2019,NP19-18-000,Texas RE,"International Boundary and Water Commission, US Section",NCR11392,No Penalty,TRE2016015849,FAC-008-3,R1,Lower,Moderate,43620,X
8/29/2019,NP19-17-000,MRO ,Unidentified Registered Entity,NCRXXXXX,0,MRO2017018152,CIP-007-6 ,R5.7,Medium,Minimal,43521,X
8/29/2019,NP19-17-000,MRO ,Unidentified Registered Entity,NCRXXXXX,0,MRO2017018150 ,CIP-010-2,R1.1.1,Medium,Minimal,43521,X
8/29/2019,NP19-17-000,WECC,Los Angeles Department of Water and Power,NCR05223,59000,WECC2017017742,VAR-002-4 ,R3,Medium,Minimal,43080,X
8/29/2019,NP19-17-000,WECC,"Gridforce Energy Management, LLC",NCR11393,50000,WECC2016016377,EOP-008-1,"R1., R1.1, 1.5,  1.2.4, 1.2.5, 1.6.2",Medium,Moderate,43054,X
8/29/2019,NP19-17-000,WECC,"Gridforce Energy Management, LLC",NCR11393,50000,WECC2016016323,INT-006-4,R1.1,Lower,Moderate,42783,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2018019480,CIP-007-1,R2,Medium,Serious,43404,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2017017880,CIP-007-1,R3,Lower,Serious,43287,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2017017881,CIP-007-1,R5,Medium,Serious,43377,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2017017882,CIP-007-1,R6,Medium,Serious,43377,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2018019481,CIP-007-1,R8,Medium,Moderate,43385,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2017017883,CIP-010-2,R1,Medium,Serious,43280,X
8/29/2019,NP19-16-000,WECC,Unidentified Registered Entity,NCRXXXXX,2100000,WECC2017017884,CIP-010-2,R2,Medium,Serious,43280,X
